turn,state,start(ps),end(ps),pmt1,pmt2,g,phase
0.5,origin,480000,546000,795,941,-8.41%,360
0.4,origin,480000,546000,1625,70,91.74%,288
0.3,origin,480000,546000,1378,330,61.36%,216
0.125,origin,480000,546000,16,1629,-98.05%,90
0.2,origin,480000,546000,385,1372,-56.18%,144
0.1,origin,480000,546000,39,1623,-95.31%,72
0.375,origin,480000,546000,1662,23,97.27%,270
0.5,origin,480000,546000,795,941,-8.41%,360
0.4,origin,480000,546000,1625,70,91.74%,288
0.3,origin,480000,546000,1378,330,61.36%,216
0.125,origin,480000,546000,16,1629,-98.05%,90
0.2,origin,480000,546000,385,1372,-56.18%,144
0.1,origin,480000,546000,39,1623,-95.31%,72
0.375,origin,480000,546000,1662,23,97.27%,270
